date,headline,body,team,author
Jul 31 2026,TWEET,"Draft is tomorrow and Deebo Samuel just landed back in San Francisco with Pearsall likely done for the year. If Samuel is available past Round 10 in your league, your league is asleep. Meanwhile Diggs is still sitting by the phone. The tape doesn't lie — and neither does an empty contract. You heard it here first.",,"RICK ""THE HAMMER"" DALTON"
Aug 2 2026,Pour One Out for Beer — Miles Hughes Just Named His Team After a Hockey Player,"So I'm scrolling through the league page this morning, half awake, coffee in hand, and I see a team called ""Pavel Dorofeyev"" sitting at 0-0-0. I stare at it. I blink. I put the coffee down. I pick it up again. Still there. Miles Hughes killed Beer. The man walked into the MFGA dashboard, looked at a perfectly good team name — one word, universally beloved, the only team in this league that everyone could agree was at least pleasant to say out loud — and replaced it with a Vegas Golden Knights winger that maybe eleven people on this planet can spell without autocorrect. I called three different league members to confirm this was real and not a fever dream. Two of them didn't know who Pavel Dorofeyev was. The third one said ""isn't that a chess player?"" It is not a chess player, for the record. He scores goals. In hockey. Which is a sport we do not play here. The rebrand changes nothing about the roster, by the way. Same Kyren Williams. Same TreVeyon Henderson. Same collection of running backs that look like Miles raided a clearance sale at the RB Warehouse. The only difference is that now when you lose to this team, you have to tell your friends you got beat by Pavel Dorofeyev, and then spend forty-five seconds explaining who that is. What kills me is this league already has a team called VancouverPantiesDeJarome and somehow THIS is the name that broke my brain. Meanwhile, I notice certain West division teams with aquatic-themed names have been real quiet this offseason. No rebrands. No trades. No moves. Just vibes. Must be nice to have that kind of confidence after, you know, however last season ended for them. I'm sure it's fine. T-BONE'S COMPLETELY SERIOUS VERDICT: Pavel Dorofeyev is either the greatest rebrand in MFGA history or the worst, and there is absolutely no middle ground. Either way, RIP Beer. You were the only team name I never had to explain to my mom.",beer,"TOMMY ""T-BONE"" MANCINI"
Aug 2 2026,Pakistan Bombers Built a War Machine and Nobody in This League Is Ready,"I've been wrong before. Not often, but it happens. What I have never been wrong about is recognizing a team that came to a draft with a plan and executed it without flinching. Pakistan Bombers did exactly that yesterday. Bijan Robinson and Ashton Jeanty as your starting running backs. Let that marinate. Two bell-cow backs in a 14-team league — one who finished as the RB1 overall and one who the Raiders are handing 300 touches to as a sophomore. Behind them sits Aaron Jones, who would be a starter on half the rosters in this league. That's not depth. That's intimidation. Jalen Hurts gives you 25 points on a bad day. A.J. Brown and DeVonta Smith are a proven stack with different quarterbacks now, sure, but they're both alpha receivers on their respective teams. Zay Flowers and Terry McLaurin are your WR3 and WR4. On most rosters in this league, those are starters. Here they're insurance. The weakness? Tight end. Colston Loveland is young, and young players at that position historically need some time to develop in fantasy. Cade Otton isn't exciting anyone. But when your running back room could outscore entire rosters on its own, you can survive a soft TE slot. I'll say this once: the East Division runs through Islamabad this year. Fort Bragg won the title last year, and good for them. But defending champions don't get to coast when someone in their own division just assembled the best RB tandem this league has ever seen.",pakistan-bombers,"Rick ""The Hammer"" Dalton"
Aug 2 2026,"The Roster Construction Tiers: Who Built for Ceiling, Who Built for Floor","I spent the morning running every roster through the projection model, and what came back split the league cleanly into three tiers. Tier 1 — Championship-caliber construction: Pakistan Bombers, I Heart Gingers, VancouverPantiesDeJarome, Doob's Agency. These four rosters share a common trait: elite positional anchors paired with depth that doesn't crater if one player goes down. I Heart Gingers deserves particular attention — Ja'Marr Chase and Tee Higgins give Carter Cole the highest-upside receiver pairing in the league, and he backed it with three startable running backs in Brown, Stevenson, and Dobbins plus two top-12 tight ends in LaPorta and Kittle. That's not a roster, that's a buffer overflow. Tier 2 — Competitive with structural risk: Englewood Ninjas, Pluto Shraazinatorz, Mount Olympus, The Vile Horrendous. Good starters, thin depth. Mount Olympus has McCaffrey and Hall at running back, which is elite, but Liam Hughes left the draft without a defense or kicker. That's not negligence — it's a calculated gamble to load up at skill positions and stream the rest. The model says it works 54.2% of the time. Flip a coin. Tier 3 — Structural concerns: The Watermark, Amon Ra Dawgin, Fort Bragg, Beer/Pavel Dorofeyev, Nabers In Paris, Chicago Zestiest Man. The reasons vary. The Watermark has Gibbs but built nothing around him — Olave's target share is declining, Wan'Dale Robinson is a PPR floor play with no ceiling, and Jadarian Price is one Kenneth Walker snap away from irrelevance. Amon Ra Dawgin paired Justin Jefferson with a quarterback room of Trevor Lawrence, which projects to a 12.6% lower target efficiency than Jefferson saw with Sam Darnold last year. Chicago Zestiest Man rostered two low-tier quarterbacks and no proven RB1. That's not a roster, that's a hypothesis. One number that jumped off the screen: Beer has seven running backs. Seven. Miles Hughes is either running a trade shop or genuinely confused about roster limits. The model projects he'll trade at least two before Week 3. Maya's Model says: Pakistan Bombers have a 23.4% chance of winning the championship, highest in the league. Chicago Zestiest Man has a 1.8% chance, lowest.",,Maya Chen
Aug 2 2026,The Vile Horrendous Just Had the Quietest Great Draft in MFGA History,"Everyone in this league is talking about the Bombers. Everyone's talking about the Gingers. Nobody — and I mean NOBODY — is talking about what Evan Brockway just did with The Vile Horrendous, and that is a crime against fantasy football discourse. James Cook finished as a top-6 back last year. Jeremiyah Love is the rookie everyone wanted but nobody could reach for. Garrett Wilson, Malik Nabers, and Rome Odunze are all 24 or younger — that's a receiver room that's going to get BETTER every single week as the NFL season progresses. And oh by the way, Travis Kelce is still Travis Kelce. The man catches 80 balls in his sleep. This is the team that has gotten ZERO coverage from this news desk all offseason. Zero articles. Zero hot takes. Zero predictions. And Evan is sitting there building a roster in silence while everyone else fights over headlines. That's the most dangerous kind of team — one that nobody's watching. You know who else nobody watched last year? Fort Bragg. And they won the whole thing. On the flip side — Stephen Cerquone, my brother, what are we DOING with Nabers In Paris? Blake Corum? James Conner? RACHAAD WHITE?! That's not a running back room, that's a retirement home. Puka Nacua is going to put up 22 points a week and it won't matter because your RBs are combining for 14. And you don't even have a KICKER drafted. A kicker! Those are free points that fall from the sky and you said no thank you! Fort Bragg hoarding three quarterbacks is the most Harrison Bragg thing I have ever seen. Kyler Murray, Patrick Mahomes, AND Cam Ward. Pick one! The other two are eating roster spots that could be actual football players! Meanwhile Tyreek Hill is on your team without a team — that's either genius or madness and history will be the judge!",vile-horrendous,"DeShawn ""Showtime"" Harris"
Aug 2 2026,Three Draft Strategies That Will Define the 2026 Season,"Every draft tells a story about how each manager sees the game. This year, three distinct philosophies emerged that are worth examining. The Anchor Strategy — I Heart Gingers and Pakistan Bombers. Both Carter Cole and Lucas Fawcett built their rosters around positional scarcity. They identified the positions where the drop-off between tiers is steepest — RB1 and WR1 — and invested their premium picks there. Cole ended up with the Bengals passing stack of Chase and Higgins, which is a correlation play that pays off massively in weeks where Cincinnati's offense clicks. The risk, naturally, is that a single bad Bengals game craters both your WR1 and WR2 simultaneously. Fawcett took the opposite approach at receiver, diversifying across four different offenses. Both strategies are defensible for different reasons. The Stream-and-Stack Strategy — Mount Olympus and Amon Ra Dawgin. Liam Hughes and Andrew Grossman both left the draft without kickers, defenses, or both. This isn't an oversight — it's a deliberate choice to maximize the value of every draft pick on skill players, then stream the replaceable positions week to week. The question isn't whether it's smart in theory — it is. The question is whether they'll maintain the discipline to make the right waiver moves every Tuesday morning for 14 weeks. Most managers who plan to stream end up panicking and holding a defense through their bye week. Discipline is a skill, and not everyone has it. The Asset Accumulation Strategy — Beer/Pavel Dorofeyev. Miles Hughes drafted seven running backs and Marvin Harrison Jr. This isn't a roster built to win Week 1 — it's a roster built to trade. Hughes is betting that injuries and underperformance across the league will create a seller's market for his depth pieces by Week 4. Kyren Williams, David Montgomery, and Chuba Hubbard all have standalone value but also serve as currency. If he can convert two of those backs into a top-20 receiver, this roster transforms from confusing to contending. Claire's Verdict: The best draft in the league was I Heart Gingers — elite anchors at every position, built-in upside through the Bengals stack, and two top-12 tight ends providing weekly flexibility. The riskiest was Chicago Zestiest Man, which bet heavily on youth at quarterback without a safety net at running back. Trey McBride can't carry a roster alone, no matter how good he is.",,Claire Westbrook
Aug 2 2026,I Graded Every Roster by How Much I'd Trust Them to Watch My Dog,"Look, anyone can give you a letter grade. A-minus here, C-plus there. Boring. Instead, I've ranked every MFGA roster by whether I'd let them dogsit for my golden retriever, Captain Biscuit. Captain B deserves only the best. Would trust completely: Pakistan Bombers, I Heart Gingers. These rosters show responsibility, planning, and the kind of foresight that says ""yes, Captain Biscuit will be walked twice and given his evening treat at exactly 7pm."" Bijan Robinson and Ashton Jeanty is the fantasy equivalent of a home security system. Nothing bad is getting through that door. Would trust but would text to check in: Doob's Agency, VancouverPantiesDeJarome, Englewood Ninjas. Solid. Reliable. Probably wouldn't forget to feed him. Saquon and Kenneth Walker is a grown-up running back room. CeeDee and DK is a grown-up receiver room. These are functioning adult rosters. Would trust only if no other option: Pluto Shraazinatorz, Mount Olympus, The Vile Horrendous. There's talent here but also red flags. Pluto drafted Derrick Henry, who is roughly 347 years old in running back years. Mount Olympus forgot to draft a defense. The Vile Horrendous has Travis Kelce, who at this point is basically a tight end-shaped memory of a tight end. Captain Biscuit might survive the weekend but I'd worry. Absolutely not. Captain Biscuit is staying home: Nabers In Paris, Chicago Zestiest Man, Amon Ra Dawgin, Fort Bragg. Stephen Cerquone's running back room of Blake Corum and James Conner is the fantasy equivalent of leaving the stove on. Zach Ehrig started two rookie QBs. Andrew Grossman has Justin Jefferson throwing to Trevor Lawrence, which — wait, I mixed that up, but you know what, it doesn't matter because it's bad either way. And Fort Bragg is out here with three quarterbacks like they're running a QB daycare center instead of a fantasy team. Oh, and I nearly forgot — there's also a team in the West that kept Jahmyr Gibbs, which was a fine move, and then surrounded him with Jadarian Price and Wan'Dale Robinson, which is the roster-building equivalent of buying a Ferrari and then putting bicycle tires on it. Interesting choices. Very bold. I'm sure it'll work out great for them. Probably.",,"Tommy ""T-Bone"" Mancini"
Aug 2 2026,"Fourteen Drafts, Fourteen Declarations","There's a particular kind of silence that fills a draft room after someone makes a pick that changes everything. It's not surprise — it's recognition. The room understands, without anyone saying it, that someone just announced who they intend to be. Carter Cole announced it loudest. Not with volume — Cole doesn't operate that way — but with the cold precision of a manager who walked into the draft knowing exactly which names he needed and exactly when they'd fall to him. Ja'Marr Chase was the declaration. Tee Higgins was the confirmation. Chase Brown in the same backfield pipeline was the exclamation point. Three Bengals in one roster isn't a coincidence, it's a conviction — a belief that Cincinnati's offense will be the engine that drives a championship. Two top-tier tight ends in LaPorta and Kittle means he never has to choose between floor and ceiling at the position. He just plays whoever has the better matchup and moves on. I Heart Gingers was 9-4 last year and nobody talked about it. They'll talk about it this year. On the other end of the emotional spectrum sits Andrew Grossman, staring at a roster that has Justin Jefferson — arguably the best receiver in football — and no clear path to getting him the ball efficiently. Trevor Lawrence has always been the quarterback people believe in more than the numbers justify. He's the hope pick, the ""maybe this year"" selection. And maybe this year is the year. But Grossman also loaded his bench with five running backs most people haven't heard of, which is either a masterclass in finding diamonds or the behavior of someone throwing darts at a board after Round 6. Miles Hughes drafted seven running backs. Seven. If you'd walked past his draft station at pick 10 and glanced at his roster, you'd think the app was glitching. But there's a logic underneath the chaos that most people won't see until October: Hughes isn't building a lineup, he's building a trade portfolio. Every one of those backs has value to a team that loses a starter to injury. He's not playing fantasy football — he's playing fantasy venture capital. Amon-Ra St. Brown and Marvin Harrison Jr. ensure that when the trades start flowing, he'll have blue-chip assets on both sides of the ledger. And then there's Nabers In Paris. Stephen Cerquone has now gone through two consecutive drafts where the roster reads like a prayer more than a plan. Puka Nacua is electric, and Tucker Kraft has breakout written across his stat line. But the running back room is held together with tape and optimism, and the quarterback situation — Matthew Stafford and Malik Willis — feels like choosing between a library book that's overdue and one that's written in a language you're still learning. But that's what drafts are, in the end. Declarations of faith. Every pick says: I believe in this player, in this situation, in this version of the future. Some of those futures will arrive exactly as imagined. Others will unravel by Week 3. Fourteen managers made their declarations yesterday. Now the season decides which ones were prophecies and which ones were prayers.",,Valentina Rojas
Aug 2 2026,Trade Block Alert: Pollard and Olave on the Move,"Fort Bragg is shopping Tony Pollard — Jacobs and Judkins have those starting spots locked, so Pollard's the expensive bench piece Harrison Bragg needs to flip before he loses value. If you need an RB2, make the call now because this price goes up the second someone's starter tears an ACL in Week 2. Meanwhile, The Watermark is dangling Chris Olave, which tells you everything you need to know about how Preston feels about this roster right now. You don't shop your best receiver in August unless you're already in trouble. Two sellers, fourteen teams watching. Somebody make a move.",fort-bragg,"DESHAWN ""SHOWTIME"" HARRIS"
Aug 3 2026,"The Bombers Just Went All-In on Puka Nacua, and Stephen Cerquone Got Fleeced","Lucas Fawcett picked up the phone last night and called Stephen Cerquone. By the time he hung up, he had Puka Nacua on his roster and Cerquone was holding three players that won't combine to match Nacua's output. Let me spell out what happened. Pakistan Bombers sent A.J. Brown, Terry McLaurin, and Aaron Jones to Nabers In Paris. In return they got Nacua and Kenyon Sadiq. That's two top-25 receivers and a startable running back for the best receiver in the deal and a tight end nobody's starting. Fawcett already had Bijan Robinson, Ashton Jeanty, DeVonta Smith, and Zay Flowers. Now he adds Puka Nacua — a receiver who put up 105 catches last season — to a roster that was already the best in the East. He didn't need to make this trade. He wanted to. There's a difference between improving your team and putting your foot on the league's throat, and this was the second one. Cerquone got three names. Fawcett got the best player. I know which side of that I want.",pakistan-bombers,"RICK ""THE HAMMER"" DALTON"
Aug 3 2026,Waiver Wire Data Dump: Two Teams Filed Five Claims and One of Them Shouldn't Have Bothered,"The first waiver cycle of the season processed 22 claims across 10 teams. Two teams filed five claims each: The Vile Horrendous and The Watermark. That's where the similarities end. Evan Brockway's Vile Horrendous added MarShawn Lloyd, Adonai Mitchell, and Cyrus Allen — all players with projected snap shares above 40% in their respective offenses. Lloyd slides into the Green Bay backfield behind Josh Jacobs, Mitchell has been running with the first-team Jets offense since Garrett Wilson went to... well, Brockway already has Wilson. The fifth claim was two kickers, Nick Folk and Cam Little, which suggests he's streaming the position. Smart process, clean execution. The Watermark filed five claims as well: David Njoku, Calvin Ridley, Braelon Allen, Eli Stowers, and De'Zhaun Stribling. Ridley is 31 with declining separation metrics. Stowers is a third-string tight end. Stribling has nine career receptions. Three of these five players project below replacement level in a 14-team format. That's not roster construction — that's a grocery run where you forgot the list and just grabbed whatever was closest to the register. Elsewhere: Pluto Shraazinatorz quietly added Justice Hill; he was targeted by Doob—s Agebcy, The Vile Horrendous, and the Pakistan Bombers. He has standalone PPR value as Derrick Henry's pass-catching complement in Baltimore. That's the waiver pickup nobody's talking about and the one most likely to matter in December.",pluto-shraazinatorz,MAYA CHEN
Aug 3 2026,The Nacua Trade Through Both Lenses — And Why Cerquone's Logic Isn't as Bad as It Looks,"The instinct is to call this a robbery. Three players for one. The best player goes to the team that was already dominant. But let's slow down and consider what each manager was actually solving for. Pakistan Bombers had a surplus of mid-tier receivers and a roster with no weaknesses. Fawcett's calculation was straightforward: consolidate three roster spots into one elite asset and use the freed space on the waiver wire. He immediately added Ray Davis, Samaje Perine, and Germie Bernard as free agents after the trade — that's three lottery tickets that didn't cost him a draft pick. The net result is a roster that upgraded from WR6-to-WR12 range at its top receiver slot to a genuine WR2 overall in Nacua, while maintaining depth through free agency adds. Cerquone's side is harder to defend but not illogical. Nabers In Paris had Puka Nacua and almost nothing else. His running back room of Blake Corum and James Conner was the thinnest in the league. Now he has Aaron Jones as an immediate RB2 upgrade, A.J. Brown as a WR1-caliber replacement for Nacua, and Terry McLaurin as a flex option with WR2 upside. He traded one piece for three, and his roster went from having one star surrounded by emptiness to having four competent starters. The question for Cerquone is whether competent is enough. Brown at 29 with Drake —The Schedual— Maye throwing to him in New England is not the same player he was in Philadelphia. McLaurin with Jayden Daniels was a borderline WR1; McLaurin with whoever starts in Washington this year is a question mark. Jones is 31 and hasn't been a top-20 back since 2023. Claire's Verdict: Fawcett won the trade. But Cerquone's roster is more functional today than it was yesterday, and for a team that went 1-12, functional might be the point.",nabers-in-paris,CLAIRE WESTBROOK
Aug 3 2026,Harrison Bragg Cut Tyreek Hill for Darnell Mooney and I'm Going to Need a Minute,"I want everyone to pause what they're doing and absorb the following sentence: the defending league champion dropped a six-time Pro Bowl receiver for a guy whose career highlight is being the fourth option on the Giants. Tyreek Hill. Waived. Nobody claimed him. He's sitting in the free agent pool right now like a Ferrari in a junkyard. I am not saying he's going to sign with an NFL team tomorrow, but I am saying that if he does, everyone who passed on him is going to pretend they ""almost"" put in a claim. You didn't. I checked. On the waiver wire front, it was absolute chaos. Twenty-two transactions in one batch. Two teams — The Vile Horrendous and another West division team whose name escapes me at the moment — both filed five claims each. Evan Brockway came out of it with actual football players. The other team came out of it with De'Zhaun Stribling and Eli Stowers, which are names I definitely just made up. Oh wait, they're real? My condolences. The Bombers also spent the post-trade afterglow scooping up Ray Davis, Samaje Perine, and Germie Bernard from free agency at 4 AM. Lucas Fawcett wasn't sleeping. He was hunting. This man traded three players, got Puka Nacua, and then immediately filled all three empty roster spots before anyone else's alarm went off. That's not a manager, that's a predator with WiFi.",fort-bragg,"TOMMY ""T-BONE"" MANCINI"
Aug 3 2026,8:06 PM: The Trade That Redrew the League,"The trade was processed at 8:06 PM on a Sunday evening. By 8:07, the group chat had seventeen new messages. Lucas Fawcett had been talking to Stephen Cerquone for the better part of a week. The names changed, the frameworks shifted, but the core of the conversation never moved: Fawcett wanted Puka Nacua, and he was willing to pay whatever it cost to get him. In the end, the cost was A.J. Brown, Terry McLaurin, and Aaron Jones — three players who, forty-eight hours earlier, were cornerstones of what most analysts had already called the league's best roster. What does it say about a manager when the best team in the league still isn't good enough? Fawcett didn't make this trade because he was desperate. He made it because he saw a ceiling that three good players couldn't reach but one great one could. There's a ruthlessness in that calculation that separates managers who win regular seasons from managers who win championships. For Cerquone, the trade is something different entirely. After a 1-12 season that emptied whatever reserves of optimism a fantasy manager carries, he woke up Monday morning with A.J. Brown, Aaron Jones, and Terry McLaurin on his roster — names that hadn't been there twenty-four hours before. His team won't be the best in the league. It won't be close. But it might not be the worst anymore, and after last year, that might be the only thing that matters. Meanwhile, the waiver wire hummed through the early hours of Monday morning. Twenty-two moves across ten teams. Fort Bragg quietly released Tyreek Hill — a name that once commanded entire draft strategies — and replaced him with Darnell Mooney. No one claimed Hill. The transaction log recorded it without commentary. But somewhere in the data, there's a story about what happens when talent ages past the point of trust, when a name stops being a guarantee and starts being a gamble nobody wants to take. Twenty-two moves. One trade. And a league that looks nothing like it did forty-eight hours ago.",,VALENTINA ROJAS
Aug 3 2026,14 Teams. 14 Weeks. 91 Games. I Called Every Single One.,"Rick 'The Hammer' Dalton here with my full 14-week season predictions for every team in the MFGA. The draft is in the books. Trades have been made. Waiver claims are filed. Now comes the part where I tell you exactly how your season is going to play out, week by week, no hedging, no maybes. I have studied every roster, every matchup, and every schedule. Top 4 in each division make the playoffs and I am telling you right now who those eight teams are. Some of you are going to disagree. That is fine. You will come around by Week 6. Let's go. || Pakistan Bombers (9-4): W1: W vs NIP | W2: L vs VPDJ | W3: W vs CZM | W4: W vs TVH | W5: L vs GING | W6: W vs MOYD | W7: W vs TWM | W8: W vs Doob | W9: L vs CPU1 | W10: W vs SRZ | W11: BYE | W12: W vs BEER | W13: W vs FBC | W14: L vs ENG - Rick says: Robinson and Jeanty are the best backfield this league has ever seen. Nacua makes this the most complete roster in the MFGA and nobody is catching them. || Pluto Shraazinatorz (7-6): W1: L vs VPDJ | W2: W vs CPU1 | W3: L vs Doob | W4: W vs CZM | W5: W vs NIP | W6: W vs BEER | W7: W vs GING | W8: L vs ENG | W9: W vs FBC | W10: L vs BOMB | W11: BYE | W12: W vs TWM | W13: L vs TVH | W14: L vs MOYD - Rick says: Josh Allen gives you a weekly floor nobody else can match. Henry is running on borrowed time but borrowed time with Allen throwing is still dangerous. || Nabers In Paris (3-10): W1: L vs BOMB | W2: W vs FBC | W3: L vs MOYD | W4: L vs GING | W5: L vs SRZ | W6: L vs TVH | W7: L vs Doob | W8: L vs BEER | W9: L vs ENG | W10: L vs VPDJ | W11: L vs TWM | W12: W vs CPU1 | W13: W vs CZM | W14: BYE - Rick says: The Brown and McLaurin trade helped but this roster is still climbing out of last year's 1-12 crater. Cerquone improved but improved and competitive are two different words. || Mount Olympus Yogurt Dressing (7-6): W1: L vs GING | W2: W vs BEER | W3: W vs NIP | W4: W vs CPU1 | W5: BYE | W6: L vs BOMB | W7: W vs TVH | W8: L vs TWM | W9: W vs CZM | W10: L vs Doob | W11: L vs VPDJ | W12: W vs FBC | W13: L vs ENG | W14: W vs SRZ - Rick says: McCaffrey and Hall is a top-5 backfield when both are upright. Liam Hughes has made the playoffs two straight years for a reason and this roster can do it again. || The Watermark (7-6): W1: L vs BEER | W2: W vs TVH | W3: W vs CPU1 | W4: W vs ENG | W5: L vs VPDJ | W6: W vs CZM | W7: L vs BOMB | W8: W vs MOYD | W9: L vs GING | W10: L vs FBC | W11: W vs NIP | W12: L vs SRZ | W13: W vs Doob | W14: BYE - Rick says: Gibbs is a top-3 back and the rest of this roster is not worthy of sharing a locker room with him. You cannot build around one player in a 14-team league and expect results. || Doob's Agency (9-4): W1: W vs TVH | W2: W vs CZM | W3: W vs SRZ | W4: W vs VPDJ | W5: W vs FBC | W6: L vs ENG | W7: W vs NIP | W8: L vs BOMB | W9: W vs BEER | W10: W vs MOYD | W11: BYE | W12: L vs GING | W13: L vs TWM | W14: W vs CPU1 - Rick says: Barkley and Walker are a punishing backfield and Burrow throws to anyone open. This is a team that gets hot in November and nobody wants to draw them in the bracket. || Englewood Ninjas (9-4): W1: W vs FBC | W2: L vs GING | W3: L vs BEER | W4: L vs TWM | W5: W vs CZM | W6: W vs Doob | W7: L vs VPDJ | W8: W vs SRZ | W9: W vs NIP | W10: BYE | W11: W vs CPU1 | W12: W vs TVH | W13: W vs MOYD | W14: W vs BOMB - Rick says: Taylor, Smith-Njigba, Waddle, and Bowers would start on any roster in this league. Flynn played the draft like a 10-year veteran and it is going to pay off. || The Vile Horrendous (6-7): W1: L vs Doob | W2: L vs TWM | W3: W vs FBC | W4: L vs BOMB | W5: BYE | W6: W vs NIP | W7: L vs MOYD | W8: L vs GING | W9: L vs VPDJ | W10: W vs CPU1 | W11: W vs CZM | W12: L vs ENG | W13: W vs SRZ | W14: W vs BEER - Rick says: Wilson, Nabers, and Odunze are all under 25 and getting better every week. The sneakiest roster in the league and the one nobody wants to face in a revenge spot. || I Heart Gingers (10-3): W1: W vs MOYD | W2: W vs ENG | W3: L vs VPDJ | W4: W vs NIP | W5: W vs BOMB | W6: W vs CPU1 | W7: L vs SRZ | W8: W vs TVH | W9: W vs TWM | W10: L vs BEER | W11: W vs FBC | W12: W vs Doob | W13: BYE | W14: W vs CZM - Rick says: Chase and Higgins is the highest-ceiling WR stack in the league. Cole went 9-4 last year when nobody was paying attention and this roster is better than that one. || Amon Ra Dawgin (3-10): W1: W vs CZM | W2: L vs SRZ | W3: L vs TWM | W4: L vs MOYD | W5: L vs BEER | W6: L vs GING | W7: W vs FBC | W8: L vs VPDJ | W9: W vs BOMB | W10: L vs TVH | W11: L vs ENG | W12: L vs NIP | W13: BYE | W14: L vs Doob - Rick says: Jefferson is the best receiver in football and Lawrence is not the QB to prove it. This team has a supercar engine strapped to a bicycle frame. || Fort Bragg Confederates (3-10): W1: L vs ENG | W2: L vs NIP | W3: L vs TVH | W4: W vs BEER | W5: L vs Doob | W6: BYE | W7: L vs CPU1 | W8: W vs CZM | W9: L vs SRZ | W10: W vs TWM | W11: L vs GING | W12: L vs MOYD | W13: L vs BOMB | W14: L vs VPDJ - Rick says: Three quarterbacks is not a strategy, it is a storage unit. The defending champs traded away picks all offseason and are going to feel every single one of those holes. || Chicago Zestiest Man (1-12): W1: L vs CPU1 | W2: L vs Doob | W3: L vs BOMB | W4: L vs SRZ | W5: L vs ENG | W6: L vs TWM | W7: L vs BEER | W8: L vs FBC | W9: L vs MOYD | W10: BYE | W11: L vs TVH | W12: W vs VPDJ | W13: L vs NIP | W14: L vs GING - Rick says: Two rookie quarterbacks and Javonte Williams as your RB1. This is the thinnest roster to walk into Week 1 in the history of this league and I stand by that. || VancouverPantiesDeJarome (11-2): W1: W vs SRZ | W2: W vs BOMB | W3: W vs GING | W4: L vs Doob | W5: W vs TWM | W6: BYE | W7: W vs ENG | W8: W vs CPU1 | W9: W vs TVH | W10: W vs NIP | W11: W vs MOYD | W12: L vs CZM | W13: W vs BEER | W14: W vs FBC - Rick says: Lamar, Achane, and CeeDee is a top-3 core in any format. If Josh P can navigate the bye weeks without a collapse this team is playing in January. || Beer/Pavel Dorofeyev (6-7): W1: W vs TWM | W2: L vs MOYD | W3: W vs ENG | W4: L vs FBC | W5: W vs CPU1 | W6: L vs SRZ | W7: W vs CZM | W8: W vs NIP | W9: L vs Doob | W10: W vs GING | W11: BYE | W12: L vs BOMB | W13: L vs VPDJ | W14: L vs TVH - Rick says: Seven running backs and Marvin Harrison Jr. on the bench is not a lineup, it is a trade binder. Hughes either makes two blockbuster deals by Week 4 or this thing falls apart. || EAST DIVISION PREDICTED STANDINGS: 1. Pakistan Bombers 9-4 (PLAYOFF), 2. Mount Olympus Yogurt Dressing 7-6 (PLAYOFF), 3. The Vile Horrendous 6-7 (PLAYOFF), 4. Beer/Pavel Dorofeyev 6-7 (PLAYOFF), 5. Nabers In Paris 3-10, 6. Fort Bragg Confederates 3-10, 7. Chicago Zestiest Man 1-12 || WEST DIVISION PREDICTED STANDINGS: 1. VancouverPantiesDeJarome 11-2 (PLAYOFF), 2. I Heart Gingers 10-3 (PLAYOFF), 3. Doob's Agency 9-4 (PLAYOFF), 4. Englewood Ninjas 9-4 (PLAYOFF), 5. Pluto Shraazinatorz 7-6, 6. The Watermark 7-6, 7. Amon Ra Dawgin 3-10 || The East belongs to Pakistan Bombers and everyone else is fighting for scraps. Mount Olympus and The Vile Horrendous are playoff locks if they stay healthy. The West is a bloodbath with four legitimate contenders and only four spots. I Heart Gingers is the best team nobody respects and they are going to make the league pay for it. Chicago Zestiest Man and Nabers In Paris are in for long winters. You heard it here first.",,"RICK ""THE HAMMER"" DALTON"
4-Aug-26,Transaction Wire,"FA SIGNING: Pakistan Bombers scoops up Kaelon Black (RB, SF) from free agency. First come first served.",pakistan-bombers,"Jake ""The Wire"" Russo"
4-Aug-26,Transaction Wire,"Pakistan Bombers parts ways with Cade Otton (TE, TB). End of the road.",pakistan-bombers,"Jake ""The Wire"" Russo"
4-Aug-26,Transaction Wire,"FA SIGNING: Chicago Zestiest Man scoops up Malik Washington (WR, MIA) from free agency. First come first served.",chicago-zestiest,"Jake ""The Wire"" Russo"
7-Aug-26,Transaction Wire,"PICKUP: Doob's Agency grabs Xavier Legette (WR, CAR) as a free agent. Smart or desperate? Time will tell.",doobs-agency,"Jake ""The Wire"" Russo"
7-Aug-26,Transaction Wire,"PICKUP: Doob's Agency grabs Ty Johnson (RB, BUF) as a free agent. Smart or desperate? Time will tell.",doobs-agency,"Jake ""The Wire"" Russo"
7-Aug-26,Transaction Wire,Free agent Cooper Kupp (SEA WR) signs with Doob's Agency. Quick hands on the wire.,doobs-agency,"Jake ""The Wire"" Russo"
7-Aug-26,Transaction Wire,"FA SIGNING: Doob's Agency scoops up George Holani (RB, SEA) from free agency. First come first served.",doobs-agency,"Jake ""The Wire"" Russo"
7-Aug-26,Transaction Wire,"PICKUP: Chicago Zestiest Man grabs Antonio Williams (WR, WSH) as a free agent. Smart or desperate? Time will tell.",chicago-zestiest,"Jake ""The Wire"" Russo"
10-Aug-26,Transaction Wire,"PICKUP: Fort Bragg Confederates grabs J.J. McCarthy (QB, MIN) as a free agent. Smart or desperate? Time will tell.",fort-bragg,"Jake ""The Wire"" Russo"
10-Aug-26,Transaction Wire,"FA SIGNING: Fort Bragg Confederates scoops up Rashod Bateman (WR, BAL) from free agency. First come first served.",fort-bragg,"Jake ""The Wire"" Russo"
10-Aug-26,Transaction Wire,Free agent Odell Beckham Jr. (NYG WR) signs with Fort Bragg Confederates. Quick hands on the wire.,fort-bragg,"Jake ""The Wire"" Russo"
